Regione,ASL,Città,CAP,Indirizzo,dug,civico,Farmacie,"Data Adesione al
protocollo"
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40125,Via San Vitale 2/e,Via San Vitale,2e,Dalle Due Torri,2021-08-22T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Castellarano,42014,Via Radici Nord 14,Via Radici Nord,14,Farmacia Alessandrini S.R.L.,2021-08-06T00:00:00Z
130 - Abruzzo,204 - TERAMO,Castellalto,64020,Via Nazionale 85 ,Via Nazionale,85,Farmacia Ammassari S.A.S.,2021-08-11T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29122,Via Cristoforo Colombo 124,Via Cristoforo Colombo,124,Farmacia Cardona e Corvi del Dr. Antonio Corvi Cardona,2021-08-23T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Bassano del Grappa,36061,Piazza Libertà 40,Piazza Libertà,40,Farmacia Centrale Rausse Dott. Mario Di Rausse Mar,2021-08-13T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37139,Via S Lucillo 8,Via S Lucillo,8,Farmacia Dr S. Soave,2021-08-10T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Cessalto,31040,Via Maggiore 55,Via Maggiore,55,Farmacia Dr.ssa Maria Antonietta Fornasari,2021-08-06T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43100,Via N Bixio 72/b,Via N Bixio,72b,Farmacia Pezzana,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Marsciano,06052,Via Mons. G. Cicioni 7,Via Mons. G. Cicioni,7,Farmacia Vescovi Emanuele,2021-08-06T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Peseggia di Scorzè,30037,Via Vecchia Moglianese 272/A,Via Vecchia Moglianese,272a,Farmacia Zoia Bortignon Sas Dei Dottori Zoia Carlo,2021-08-13T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Auronzo di Cadore,32041,Via Roma 19,Via Roma,19,Ente Coop Consumo Mutuo Soccorso A R L,2021-08-12T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Bassano del Grappa,36061,Via Roma 11,Via Roma,11,Farmacia alle Due Colonne,2021-08-10T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37129,Via Interrato Acqua Morta 42,Via Interrato Acqua Morta,42,Farmacia al Seminario Snc Di Dallemolle Giovanni e Walter,2021-08-11T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Scorzè,30037,Via Roma 37,Via Roma,37,Farmacia Bortignon Centomo Dott. Marco Centom,2021-08-14T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Alta Val Tidone,29010,Nibbiano - P. Martiri della Libertà 6,Piazza Martiri della Libertà,6,Farmacia Bosi,2021-08-10T00:00:00Z
130 - Abruzzo,204 - TERAMO,Tortoreto,64019,Via Carducci 145 ,Via Carducci,145,Farmacia Gasparroni Dott.ssa Antonella,2021-08-06T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Cavezzo,41014,Via Volturno 12,Via Volturno,12,Farmacia Pacchioni di Franciosi Livia E C S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Castelnovo Nè Monti,42035,Via Roma 59,Via Roma,59,Manfredi,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Modena 491 Porotto,Via Modena,491,San Pietro,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40137,Via Mazzini 9/a,Via Mazzini,9a,degli Alemanni,2021-08-09T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Bassano del Grappa,36061,Via J Da Ponte 76,Via J Da Ponte,76,Farmacia All'ospedale di Lago Stefania,2021-08-10T00:00:00Z
130 - Abruzzo,204 - TERAMO,Ancarano,64010,Via Po,Via Po,,Farmacia Dott. Palombieri Iacopo,2021-08-06T00:00:00Z
190 - Sicilia,204 - ASP ENNA,Enna,94100,Via Libertà 57,Via Libertà,57,Farmacia Grippaudo dei Dottori Giuseppe e Pietro S,2021-08-06T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Scorzè,30037,Via Onaro 7/a,Via Onaro,7a,Farmacia San Martino S.A.S.,2021-08-17T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Giacciano Con Baruchella,45020,Piazza Libertà 315,Piazza Libertà,315,Farmacia Serenissima S.N.C.,2021-08-09T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Parma,43123,Viale Solferino 34/c,Viale Solferino,34c,Farmacia Solferino di Gavazzoli Dott. Rocco,2021-08-11T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Valle di Cadore,32040,Via Xx Settembre 77,Via Xx Settembre,77,Farmacia Soravia Donatella,2021-08-10T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via Carlo Mayr 28,Via Carlo Mayr,28,San Romano S.A.S. della Dott.ssa Monaldi Lilia e C.,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Città della Pieve,06062,Via Garibaldi 87,Via Garibaldi,87,Afas Pg N.14 Citta' della Pieve,2021-08-09T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Trieste,34126,Via Giulia 14,Via Giulia,14,All'amazzone Trionfante Dottor De Michelini e C S.N.C.,2021-08-16T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16124,Via Cairoli 42R,Via Cairoli,42r,Cairoli della D.ssa Zucca Lucia e C S N C,2021-08-09T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Castelnovo di Sotto,42024,Via a Gramsci 35,Via a Gramsci,35,Dallaglio,2021-08-10T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Casoli,66043,Via Montaniera 44/a,Via Montaniera,44a,Farm. Serafini Dr.ssa Rita G.,2021-08-31T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Salzano,30030,Via Monte Grappa 16,Via Monte Grappa,16,Farmacia Bottacin S.R.L.Di Hippo 31 Farma S.R.L.,2021-08-07T00:00:00Z
130 - Abruzzo,204 - TERAMO,Atri,64030,Via Carlo Verdecchia 8 ,Via Carlo Verdecchia,8,Farmacia D.ssa Angela Maria Calafiore,2021-08-06T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29100,Corso Vittorio Emanuele 64/66,Corso Vittorio Emanuele,64,Farmacia Laneri dei Dottori Laneri Roberto e Violante S.N.C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Concordia Sulla Secchia,41032,Via Martiri della Liberta 10H,Via Martiri della Liberta,10h,Farmacia Rossi,2021-08-10T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37131,Via Montorio 59/a,Via Montorio,59a,Farmacia S Chiara,2021-08-10T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Fidenza,43036,Piazza Garibaldi 42,Piazza Garibaldi,42,Farmacie Malchiodi di Malchiodi Dr. Paolo e C. S.A.S,2021-08-09T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Bassano del Grappa,36061,Via Scalabrini 102,Via Scalabrini,102,Pozzi di Pozzi Perteghella Dott.ssa Chiara,2021-08-10T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Concordia Sulla Secchia,41033,Piazza Roma 34,Piazza Roma,34,Belli,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40132,Via Marco Emilio Lepido 147,Via Marco Emilio Lepido,147,del Borgo S.R.L.,2021-08-06T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Noale,30033,Via Cimitero 18,Via Cimitero,18,Farmacia Buso Walter,2021-08-09T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Bolzano Vicentino,36050,Via Ponte 2,Via Ponte,2,Farmacia Dott.ssa Berto Gloria,2021-08-12T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Fidenza,43036,Via Berenini 26,Via Berenini,26,Farmacia Gemignani Sas Dott.ssa Elisabetta Gemignani e C,2021-08-10T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Castelnovo di Sotto,42024,Via a Gramsci 117,Via a Gramsci,117,Farmacia Manfredi di Manfredi Elvina E C.S.A.S.,2021-08-09T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37129,Rigaste Redentore 8/c,Rigaste Redentore,8c,Farmacia Ponte Pietra,2021-08-09T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Feltre,32032,Via Trevigiana 4,Via Trevigiana,4,Farmacia Ricci Federico,2021-08-12T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29122,Via Trivioli 4,Via Trivioli,4,Farmacia San Giuseppe,2021-08-10T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Castelfrentano,66032,Corso Roma 31,Corso Roma,31,Farmacia Savelli Dr.Piergiorgio,2021-08-06T00:00:00Z
130 - Abruzzo,204 - TERAMO,L103,64100,Piazza Orsini 15,Piazza Orsini,15,Farmacia Eredi Guerrieri Crocetti S.R.L,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,C  di Castello,06012,Via Palmiro Togliatti 13 Città di Castello,Via Palmiro Togliatti,13,Ortalli S.N.C. di Ortalli Massimo e C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44028,Piazza Buozzi 22 Fraz Pontelagoscuro,Piazza Buozzi,22,Centrale di Pontelagoscuro S.R.L.,2021-08-10T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Colle Umberto,31014,Via Menarè 14,Via Menarè,14,Farmacia Carraro,2021-08-06T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Fidenza,43036,Via Cavour 21,Via Cavour,21,Farmacia Cavour S.R.L.,2021-08-11T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Arielli,66030,Corso Savoia 12,Corso Savoia,12,Farmacia Cespa Marina,2021-08-09T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Mirano,30035,Via D Alighieri 4,Via D Alighieri,4,Farmacia Dott Bevilacqua Vittorio,2021-08-14T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Breganze,36042,Via G Mazzini 19,Via G Mazzini,19,Farmacia Dott Sartori ai Due Gigli S.N.C.,2021-08-10T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Carmignano di Brenta,35010,Via Marconi 15,Via Marconi,15,Farmacia Favaro S.N.C.,2021-08-24T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Città di Castello,06012,Viale Moncenisio 26 Città Di Castello,Viale Moncenisio,26,Farmacia La Tina di Ortalli S.N.C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Concordia Sulla Secchia,41033,Via Garibaldi 43,Via Garibaldi,43,Farmacia Popolare,2021-08-09T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Agazzano,29010,Piazza Europa 21,Piazza Europa,21,Farmacia Veneziani S.N.C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Cavriago,42025,Via Don Tesauri 2/c,Via Don Tesauri,2c,San Terenziano,2021-08-11T00:00:00Z
190 - Sicilia,204 - ASP ENNA,Enna,94100,Via Roma 352,Via Roma,352,Saporito Corrado,2021-08-23T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Fanano,41033,Piazza Vittoria 18,Piazza Vittoria,18,Bergamini S.N.C.,2021-08-19T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Canossa,42026,Via Val D'enza Sud 2,Via Val D'enza Sud,2,Delfini,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Piazza Emilia 26 Fraz Barco,Piazza Emilia,26,della Salute Eredi Dott. Paolo Ghisellini,2021-08-10T00:00:00Z
130 - Abruzzo,204 - TERAMO,Roseto degli Abruzzi,64026,Via Nazionale 118,Via Nazionale,118,Farmacia dell'aquila,2021-08-06T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Rosolina,45010,Vle del Popolo 32,Vle del Popolo,32,Farmacia Disette Snc dei Dottori Mario e Marta D,2021-08-09T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Brendola,36040,Via B. Croce 2,Via B. Croce,2,Farmacia Dr. Liviero Alberto,2021-08-10T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Feltre,32032,Via Xxxi Ottobre 17/19,Via Xxxi Ottobre,17,Farmacia Minciotti di Minciotti Eleonora e C. S.N.,2021-08-10T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37129,Via S Vitale 1/a,Via S Vitale,1a,Farmacia S Paolo S.N.C.,2021-08-16T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Fidenza,43036,Via Xxiv Maggio 28,Via Xxiv Maggio,28,Farmacie Malchiodi Dr Paolo e C S.A.S.,2021-08-09T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Città  di Castello,06012,Via Luca della Robbia 7 Città di Castello,Via Luca della Robbia,7,Luca della Robbia S.N.C. dei Dottori Angela Belinc,2021-08-24T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Pescina,67057,Via S. Rinaldi 32,Via S. Rinaldi,32,Capuzza D.ssa Maria Luisa,2021-08-06T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44100,Via X Martiri 184 Porotto,Via X Martiri,184,Consolini,2021-08-24T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40127,Via Pirandello 22/a,Via Pirandello,22a,F.Cia del Sole della Societa' F.Cia Trento Trieste,2021-08-09T00:00:00Z
190 - Sicilia,204 - ASP ENNA,Enna,94100,Via Roma 315,Via Roma,315,Farmacia del Centro del Dr S.Ingrasciotta,2021-08-16T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Martellago,30030,Piazza Vittoria 71,Piazza Vittoria,71,Farmacia Rosa Emanuele Clemente,2021-08-30T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Finale Emilia,41021,Via Mazzini 1/b,Via Mazzini,1b,Negrini,2021-08-09T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Salsomaggiore Terme,43039,Piazza Libertà 3/a,Piazza Libertà,3a,Premiata Farmacia Bonfanti del Dr Gianluigi Bonfanti S.N.C.,2021-08-13T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16123,Salita S Caterina 24R,Salita S Caterina,24r,Santa Caterina S.A.S di Sessarego Giulia,2021-09-01T00:00:00Z
"060 - Friuli Venezia
Giulia",207 - AZIENDA SANITARIA UNIVERSITARIA GIULIANO ISONTINA (ASU GI),Trieste,34135,Via Tor S Piero 2,Via Tor S Piero,2,All'aquila Imperiale,2021-08-19T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40138,Via Bentivogli 99/c,Via Bentivogli,99c,della Cirenaica S.N.C.,2021-08-09T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Venezia,30131,Cannaregio 4437,Cannaregio,4437,Farmacia Alla Fama,2021-08-07T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29100,Corso Vittorio Emanuele 121,Corso Vittorio Emanuele,121,Farmacia Corvi Gianni delle Dott.sse Corvi Dina e Corvi Letizia S.N.C.,2021-08-12T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Casale di Scodosia,35040,Via Onorio De Luca 137,Via Onorio De Luca,137,Farmacia Guggi,2021-08-07T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Correggio,42015,Via G Mazzini 40,Via G Mazzini,40,Farmacia Lasagni Dr.Giovanni S.N.C.,2021-08-16T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Canaro,45034,Via Fellini 12,Via Fellini,12,Farmacia San Francesco,2021-08-18T00:00:00Z
100 - Umbria,202 - AUSL UMBRIA N.2,Foligno,06030,S.S. Adriatica Colfiorito,S.S. Adriatica Colfiorito,,Afam Spa Farmacia N 4,2021-08-25T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29100,Via Xx Settembre 65,Via Xx Settembre,65,Antica Farmacia Antonio Corvi S.N.C.,2021-08-10T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Casalserugo,35020,Via Umberto Primo 73,Via Umberto Primo,73,Farmacia All'angelo S.N.C.,2021-08-06T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Stra,30039,Via Giovanni Xxiii 62,Via Giovanni Xxiii,62,Farmacia Colucci S.A.S. di Oscar Colucci,2021-08-06T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Chieti,66100,Corso Marruccino 190,Corso Marruccino,190,Farmacia Dr. Belluzzi Massimo,2021-08-09T00:00:00Z
190 - Sicilia,204 - ASP ENNA,Leonforte,94013,Corso Umberto 239,Corso Umberto,239,Farmacia Giunta Claudio e Giuseppe S.N.C,2021-08-09T00:00:00Z
130 - Abruzzo,204 - TERAMO,Civitella del Tronto,64010,Piazza F. Pepe 19,Piazza F. Pepe,19,Farmacia Izzi Dr. Gianfranco,2021-08-06T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Finale Emilia,41034,Via Mazzini 32,Via Mazzini,32,Farmacia Zona,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44036,Via Calzolai 446 a B Fraz Francolino,Via Calzolai,446,Alla Sorgente,2021-08-09T00:00:00Z
050 - Veneto,507 - AZIENDA ULSS N. 7 PEDEMONTANA,Caltrano,36030,Via Roma 8,Via Roma,8,Farmacia All'angelo di Gheno Marina,2021-08-10T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Venezia,30174,Via San Donà 6 Mestre,Via San Donà,6,Farmacia Alla Madonna S.A.S.,2021-08-11T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Cornuda,32041,Via Zanini 1,Via Zanini,1,Farmacia Dalla Favera Snc Di Brunetta Fabio e C,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40138,Via Massarenti 254,Via Massarenti,254,Farmacia della Provvidenza del Dott. Chisini Giuse,2021-08-10T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,"Livinallongo del Col Di
Lana",32020,Via Pieve 78,Via Pieve,78,Farmacia di Arabba e Livinallongo S.N.C.,2021-08-16T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Collazzone,06050,Via Tiberina 80,Via Tiberina,80,Farmacia Erede Dr. Enrico Bensi,2021-08-06T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Bardi,43032,Via Cella 25,Via Cella,25,Farmacia S Giovanni delle Dr.sse Rita E Donatella Surace S.N.C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Fiorano Modenese,41034,Via Santa Caterina 5-7-9,Via Santa Caterina,5-7-9,Farmacia Ss Antonio e Francesco Di Linda's Farmacie Indipendenti S.N.C.,2021-08-25T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Piacenza,29121,Via Giordano Bruno 54,Via Giordano Bruno,54,Premiata Farmacia Camillo Corvi S.A.S. Del Dott. Paolo Corvi Mora,2021-08-11T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Fabbrico,42042,Via Roma 42,Via Roma,42,Davolio Marani,2021-08-10T00:00:00Z
070 - Liguria,103 - GENOVESE,Genova,16141,Via Terpi 41R,Via Terpi,41r,De Ferrari S N C,2021-08-23T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Cittadella,35013,Via Porta Vicentina 7,Via Porta Vicentina,7,Farmacia al Doge di Pasinato Marilena,2021-08-06T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Fonzaso,32030,Via Marconi 23,Via Marconi,23,Farmacia Alla Madonna Snc di Zannoni Lucia e C.,2021-08-10T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Bedonia,43041,Via Garibaldi 4,Via Garibaldi,4,Farmacia Bocchialini S.A.S.,2021-08-09T00:00:00Z
050 - Veneto,503 - AZIENDA ULSS N. 3 SERENISSIMA,Scorzè,30037,Via Cercariolo 7,Via Cercariolo,7,Farmacia Dott. Perri Enrico Antonio,2021-08-13T00:00:00Z
130 - Abruzzo,204 - TERAMO,Giulianova,64021,Via G. Galilei 84,Via G. Galilei,84,Farmacia Dr. del Vomano Cod.27,2021-08-06T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Corciano,06073,Via G. di Vittorio 22,Via G. di Vittorio,22,Farmacia Fracassini S.A.S. di Maria Cristina Lorenzini,2021-08-06T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Chieti,66100,Corso Marruccino 164,Corso Marruccino,164,Farmacia Menna Dott. Stefano,2021-08-07T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37131,Vle Spolverini 2,Vle Spolverini,2,Farmacia S Giuseppe,2021-08-23T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Pianello Val Tidone,29010,Piazzale Alpini 15,Piazzale Alpini,15,Farmacia Tagliaferri di Dr. Antonella Tagliaferri,2021-08-10T00:00:00Z
050 - Veneto,502 - AZIENDA ULSS N. 2 MARCA TREVIGIANA,Pieve del Grappa,31017,Piazza San Marco 29,Piazza San Marco,29,Farmacie Chimenti dei Dr.Angela E Giorgio Chimenti,2021-08-06T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Ficarolo,45036,Piazza Giuseppe Garibaldi 7,Piazza Giuseppe Garibaldi,7,Mb Farmasicura Snc Dott.ssa E. Bosi E Figlie,2021-08-09T00:00:00Z
080 - Emilia Romagna,109 - FERRARA,Ferrara,44020,Via Ducentola 2/b Fraz Quartesana,Via Ducentola,2b,Cacciari,2021-08-09T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40132,Via Marco Emilio Lepido 45/B,Via Marco Emilio Lepido,45b,della Scala S.N.C.,2021-08-09T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Adria,45011,Cso V Emanuele Secondo 36,Cso V Emanuele Secondo,36,Farmacia Centrale Snc Dr. Stoppa,2021-08-26T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Lozzo di Cadore,32040,Via Roma 1,Via Roma,1,Farmacia Dolomiti del Dr. Alberto Da Pian S.A.S.,2021-08-10T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Costacciaro,06021,Corso Mazzini 2 Costacciaro,Corso Mazzini,2,Farmacia Dott. Franco Renzi S.N.C.,2021-08-07T00:00:00Z
050 - Veneto,508 - AZIENDA ULSS N. 8 BERICA,Camisano Vicentino,36043,Via Xx Settembre 1,Via Xx Settembre,1,Farmacia Fecchio Snc di Sperotto Giulia e Luisa,2021-08-18T00:00:00Z
050 - Veneto,506 - AZIENDA ULSS N. 6 EUGANEA,Cittadella,35013,Via Roma 35,Via Roma,35,Farmacia Marenduzzo S.N.C. Di Marenduzzo Matteo E,2021-08-10T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Bedonia,43041,Via Aldo Moro 29,Via Aldo Moro,29,Farmacia Sant'eufemia Snc di Infar Srl C,2021-08-31T00:00:00Z
080 - Emilia Romagna,101 - PIACENZA,Cortemaggiore,29016,Via Roma 2/f,Via Roma,2f,Farmacie di Cortemaggiore S.N.C.,2021-08-09T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Castel del Monte,67023,Via Nazario Sauro 25,Via Nazario Sauro,25,Marinelli Teresa,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Gattatico,42043,Via Tragni 32 ,Via Tragni,32,Saccardi Giuseppina S.N.C.,2021-08-06T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Formigine,41022,Via San Francesco 2,Via San Francesco,2,S Giuseppe,2021-08-16T00:00:00Z
080 - Emilia Romagna,105 - BOLOGNA,Bologna,40122,Via Lame 52,Via Lame,52,al Palazzo Dello Sport,2021-08-11T00:00:00Z
130 - Abruzzo,201 - ASL 1 AVEZZANO-SULMONA- L'AQUILA,Arischia - L'aquila,67011,Via del Convento Snc,Via del Convento,,Celiberti Liliana Grazia,2021-08-06T00:00:00Z
050 - Veneto,509 - AZIENDA ULSS N. 9 SCALIGERA,Verona,37142,Via Poiano 99,Via Poiano,99,Farmacia Bellamoli del Dott. Sandro Bellamoli e C,2021-08-15T00:00:00Z
080 - Emilia Romagna,102 - PARMA,Berceto,43042,Piazza San Giovanni Bosco 3,Piazza San Giovanni Bosco,3,Farmacia Comunale Berceto,2021-08-16T00:00:00Z
130 - Abruzzo,204 - TERAMO,Isola del Gran Sasso,64045,Borgo San Leonardo 50,Borgo San Leonardo,50,Farmacia di Giacomo D.ssa M. Graziana,2021-08-06T00:00:00Z
100 - Umbria,201 - AUSL UMBRIA N.1,Deruta,06053,Via dell'arte 14/16,Via dell'arte,14,Farmacia Perelli S.A.S. di Claudia Perelli e C.,2021-08-09T00:00:00Z
050 - Veneto,501 - AZIENDA ULSS N. 1 DOLOMITI,Cortina D'ampezzo,32043,Cso Italia 25,Cso Italia,25,Farmacia San Giorgio S.R.L.,2021-08-10T00:00:00Z
080 - Emilia Romagna,104 - MODENA,Formigine,41043,Via Trento Trieste 1,Via Trento Trieste,1,Farmacia San Pietro S.N.C.,2021-08-10T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Merano,39012,Via Roma 118,Via Roma,118,Maia Bassa,2021-08-06T00:00:00Z
080 - Emilia Romagna,103 - REGGIO EMILIA,Gualtieri,42044,Via Strada Statale 63 10,Via Strada Statale,10,Terzi,2021-08-09T00:00:00Z
041 - Bolzano - P. A.,201 - AZIENDA SANITARIA DELL'ALTO ADIGE,Merano .Meran.,39012,Via delle Corse 58,Via delle Corse,58,Druso,2021-08-06T00:00:00Z
100 - Umbria,202 - AUSL UMBRIA N.2,Foligno,06034,Via S. Ponti 11 Foligno,Via S. Ponti,11,Farmacia Bartoli Snc del Dr. Simone Bartoli e C.,2021-08-06T00:00:00Z
050 - Veneto,505 - AZIENDA ULSS N. 5 POLESANA,Lusia,45020,Via Manzoni 152,Via Manzoni,152,Farmacia Casna delle Dr Mara Emanuela e Lorenza C,2021-08-07T00:00:00Z
